A la deriva (cuento)
Balón prisionero
Balón prisionero
Banda Oriental
Banda sonora
Barranca abajo (obra de teatro)
Barreras biológicas
Base de datos
Base de datos
Base de datos relacional
Base fuerte
Basura
Batería (electricidad)
Batllismo
Beber
Biocenosis
Bioconstrucción
Biodiversidad
Biodiversidad de Uruguay
Biomas de Uruguay
Biotecnología
Bisección
Bisectriz
Blues
Boca humana
Boceto
Boceto
Bucle (programación)
Bucle (programación)
Bulimia
Bulimia
Burguesía
Bádminton
Bádminton
Bádminton
Béisbol
Béisbol
Béisbol
CSS
Cadena productiva
Cadena trófica
Cajón (percusión)
Calcio
Calendario del embarazo
Calentamiento global
Calentamiento global
Calidad de vida
Calidad del agua
Calidad del suelo
Calor
Cambio climático
Cambio climático
Cambio climático en Uruguay
Cambio físico
Cambio lingüístico
Cambio léxico-semántico
Cambio tecnológico (concepto)
Cambio tecnológico (concepto)
Campamento educativo
Canción
Candombe
Candombe
Candombe
Candombe
Cannabis (psicotrópico)
Cannabis en Uruguay
Canon (música)
Canto gregoriano
Capa de ozono
Capa de ozono
Capitalismo
Capitalismo comercial
Caracteres sexuales secundarios
Carga eléctrica
Carga eléctrica
Carlos Maggi
Cartografía
Cartón
Cartón
Casa tomada
Catfishing
Cavidad abdominal
Cavidad craneal
Cavidad pélvica
Celiaquía
Centro de gravedad
Centro de gravedad
Cerebelo
Cerebro
Chacarera
Chamarrita
Chatarra electrónica
Chatarra electrónica
Chatarra electrónica
Chatarra electrónica
Chatarra electrónica
Ciberacoso
Ciberacoso
Ciberataque
Ciclo de vida de la tecnología
Ciclo de vida de la tecnología
Ciclo hidrológico
Ciclo hidrológico
Ciclo sexual femenino
Cien años de soledad
Ciencia
Ciencia de materiales
Ciencias físicas
Cifras significativas
Cifras significativas
Cigoto
Cinturón de fuego del Pacífico
Circe Maia
Circo
Circo
Circo
Circuito
Circuito
Circuito en serie
Circuito en serie
Circuito integrado
Circulación del agua en las plantas
Circunferencia
Circunferencia circunscrita
Circunferencia inscrita
Citoplasma
Ciudad
Ciudad
Ciudad global
Ciudad inteligente
Ciudad-Estado
Ciudadano
Ciudadano del mundo
Ciudadanía digital
Ciudadanía digital
Ciudadanía digital
Ciudadanía digital
Ciudadanía digital
Ciudadanía digital
Ciudadanía local
Civilización
Civilización incaica
Civilización mexica
Civitas
Clasificación de la oración simple
Clasificación de la oración simple
Cliente-servidor
Clima
Clima de Uruguay
Climatología
Cloroplasto
Clítoris
Cocaína
Codificación digital
Coherencia textual
Cohesión textual
Colaboración
Colonialismo
Colonización europea de América
Colonización griega
Color
Color cálido y frío
Color en el arte
Comensalismo
Comisión de Inversiones y Desarrollo Económico
Comparsa (carnaval)
Competencia (organización)
Competición (juego)
Complemento agente
Complemento circunstancial
Complemento de régimen
Complemento indirecto
Complemento no argumentativo
Complemento predicativo
Complemento sintáctico
Complemento sintáctico
Componente electrónico
Composición (artes visuales)
Composición (lingüística)
Composición musical
Composite
Compuesto químico
Computadora
Compás (música)
Comunicación
Comunicación
Comunicación no verbal
Comunicación oral
Concentración
Concentración
Condensador eléctrico
Conductividad eléctrica
Conducto deferente
Conductor eléctrico
Conductos eyaculatorios
Conector eléctrico
Configuración electrónica
Conjugación
Conjunción (gramática)
Connotación
Conquistadores españoles
Conservación ambiental
Conservación de la energía
Consonante
Construcción social del cuerpo
Construcción social del cuerpo
Construcción social del cuerpo
Consumismo
Contacto entre lenguas
Contacto lingüístico
Contaminación
Contaminación atmosférica
Contaminación del suelo
Contaminación hídrica
Contaminación por plástico
Continuidad de los parques
Contracción muscular
Contracción muscular
Contracción muscular
Contraseña
Contraste
Control de versiones
Coordinación (gramática)
Coordinación muscular
Corazón
Coreografía
Corriente eléctrica
Corriente eléctrica
Cortesía
Cosmovisión incaica
Cosmética
Creación de espacios
Creatividad
Credibilidad
Credibilidad
Criollo
Crisis económica de Uruguay 1999-2002
Crisis económica sudamericana de 2002
Cristalización
Cristalogénesis
Cristianismo
Cristina Peri Rossi
Croquis
Croquis
Croquis
Cruzadas
Cuadrilátero
Cuarta Revolución Industrial
Cuenca del Mediterráneo
Cuenca hidrográfica
Cuento
Cuentos de amor de locura y de muerte
Cuentos de la selva
Cuerpo humano
Cultura de Uruguay
Cultura de Uruguay
Cultura de la Antigua Roma
Cultura maker
Cultura maker
Cultura maya
Cumbia (Colombia)
Cálculo mental
Célula
Célula animal
Célula eucariota
Célula procariota
Célula vegetal
Código de Hammurabi
Cópula (zoología)
Danza
Danza folclórica
Dato
Dato
Decálogo del perfecto cuentista
Deepfake
Deforestación
Deglución
Degradación ambiental
Delito informático
Delmira Agustini
Democracia
Democracia ateniense
Democracia liberal
Democracia participativa
Demografía
Demografía de Uruguay
Denotación
Densidad
Densidad de población
Deporte
Deporte
Deporte
Deporte de equipo
Deporte de equipo
Deporte de equipo
Deportes en Uruguay
Deportes en Uruguay
Deportes en Uruguay
Depredación
Depresión
Depuración de programas
Depuración de programas
Depuración de programas
Derecho a la vivienda
Derecho de autor
Derecho de autor
Derecho romano
Derechos
Derechos del niño
Derechos digitales
Derechos digitales
Derechos económicos, sociales y culturales
Derechos humanos
Derechos humanos
Derechos humanos
Derechos reproductivos
Derechos reproductivos
Derechos sexuales
Derechos sexuales
Derechos sociales
Deriva continental
Derivación (lingüística)
Desarrollo de videojuegos
Desarrollo sostenible
Desarrollo sostenible
Desarrollo sostenible
Descalcificador de agua
Descentralización
Descubrimiento de América
Desertificación
Desfibrilador externo automático
Desgarro muscular
Desigualdades en México
Desinfección
Determinante (lingüística)
Diabetes mellitus
Diagrama de flujo
Dibujo técnico
Dictadura cívico-militar en Uruguay (1973-1985)
Digestión
Digestión en el ser humano
Dignidad
Dimorfismo sexual
Dinámica (música)
Diodo
Disciplinas afines usadas en Historia
Disco (topología)
Diseño
Diseño
Diseño arquitectónico
Diseño audiovisual
Diseño industrial
Disolución
Disolución acuosa
Dispositivo móvil
Distribución de Laplace
Distribución de probabilidad
Diversidad sexual
Divisibilidad
División (matemática)
División del trabajo
Dominio de una función
Dominio de una función
Domótica
Donación de órganos
Droga
Droga
Drogodependencia
Dureza
Ecociudad
Ecología del suelo
Economía circular
Economía de Uruguay
Economía de la Antigua Roma
Economía en la Antigua Grecia
Economía feudal
Ecosistema
Ecotecnología
Ecuación de primer grado
Ecuación de segundo grado
Ecuación química
Edad Media
Edad Moderna
Edad Oscura
Eduardo Acevedo Díaz
Educación física
Educación física
Educación física
Educación musical
Educación sexual
Efecto invernadero
Eficiencia energética
Eficiencia energética
Eje (mecánica)
Eje hipotalámico-hipofisario-prolactina
Ejército artiguista
El Gaucho Martín Fierro
El almohadón de pluma
El desalojo
El hijo (cuento)
El hombre muerto
El libro blanco (Frágil)
El llano en llamas
El solitario (cuento)
Electromecánica
Electronegatividad
Electrón de valencia
Elemento estructural
Elemento estructural
Elemento químico
Elementos del clima
Elementos notables de un triángulo
Elena Garro
Embarazo adolescente
Embarazo humano
Embriogénesis
Embriogénesis humana
Embrión
Emoción
Emulsión
En familia (obra de teatro)
Enanismo
Endometrio
Energética
Energía alternativa
Energía alternativa
Energía eólica
Energía eólica en Uruguay
Energía mecánica
Energía potencial electrostática
Energía solar
Energía solar en Uruguay
Enfermedad
Enfermedad coronaria
Engaño pederasta
Engaño pederasta
Engranaje
Engranaje
Enlace (química)
Enlace covalente
Enlace iónico
Enlace metálico
Entonación
Entrada
Entrenamiento de fuerza
Enzima
Epidídimo
Ernesto Cardenal
Esclavitud en la Antigua Grecia
Esclavitud en la Antigua Roma
Escolástica
Escondite
Escondite
Escondite
Escritura
Escritura creativa
Escritura cuneiforme
Escuadrones de la muerte (Uruguay)
Escultura
Escultura incaica
Esguince
Espacio geográfico
Espacio público
Espacio urbano
Espasmo muscular
Español de América
Español de España
Especie
Especie introducida
Espermatozoide
Esqueleto
Esqueleto apendicular
Esqueleto axial
Esqueleto humano
Esquema corporal
Esquema corporal
Esquema corporal
Esquema eléctrico
Estado
Estado
Estadística descriptiva
Estadística descriptiva
Estamento
Estamento
Estereotipo
Estereotipo de género
Estereotipo de género
Estilo APA
Estilo APA
Estoma
Estrofa
Estructura
Estructura de la Tierra
Estrés
Estrógeno
Estómago
Esófago
Ethernet
Etimología
Eurasia
Evaluación
Evolución tecnológica
Excitabilidad neuronal
Excreción
Excreción
Excreción vegetal
Expansión del fondo oceánico
Expansión musulmana
Expediciones Libertadoras de la Banda Oriental
Experiencia de usuario
Experimentación
Expresión (informática)
Expresión (teatro)
Expresión corporal
Expresión corporal
Expresión corporal
Expresión escrita
Factores abióticos
Factores bióticos
Factores de la comunicación
Familia
Faringe
Fase (materia)
Fecundación
Fecundación
Fecundación in vitro
Felisberto Hernández
Feminidad
Fenómeno meteorológico extremo
Fertilizante
Feudalismo
Figura literaria
Figura literaria
Figura musical
Figura y fondo (lingüística cognitiva)
Filología hispánica
Filosofía griega
Final del juego (libro)
Fisicoquímica
Fitorremediación
Flash (fotografía)
Flexión (lingüística)
Flora de Uruguay
Florencio Sánchez
Flujo de energía y nutrientes en los ecosistemas
Fonema
Forma artística
Forma binaria
Forma musical
Forma ternaria
Formación de palabras
Formulario
Fotodiodo
Fotografía
Fotosíntesis
Fraccionamiento
Fractura ósea
Francisco Espínola
Frecuencia cardíaca
Frecuencia estadística
Frecuencia estadística
Frecuencia respiratoria
Fuente de energía
Fuente de energía
Fuente de energía
Fuente documental
Fuente documental
Fuente periodística
Fuerza conservativa
Fuerzas Armadas de Uruguay
Fuga
Función (matemática)
Función (matemática)
Función de relación
Función expresiva
Función polinómica
Función polinómica
Función sintáctica
Fungi
Fusible
Física química
Fórmula (expresión)
Fórmula molecular
Fósforo
Fútbol
Fútbol
Fútbol
Gabriel García Márquez
Gabriela Mistral
Gameto
Gameto
Gaucho
Gel
Generación
Generación del 900
Generación del centenario (Uruguay)
Generación del centenario (Uruguay)
Geodinámica
Geografía de la población
Geografía industrial
Geografía rural
Geografía urbana
Geolocalización
Gerundio
Gestión cultural
Gigantismo
Gimnasia
Gimnasia
Gimnasia acuática
Gimnasia acuática
Gimnasia acuática
Gimnasia aeróbica
Gimnasia artística
Glucemia
Glándula salival
Glándula suprarrenal
Glándula tiroides
Glúcido
Gobierno
Goniometría
Gonorrea
Grafema
Grafeno
Gramática
Gran Depresión
Grasa
Grasa
Grecia clásica
Griselda Gambaro
Grupo fónico
Grupo sanguíneo
Gráfica
Gráfica
Gráfica de una función
Gráfica de una función
Gráfico vectorial
Guerra Fría
Guerra Fría Cultural Latinoamericana
Guerra Grande
Guerrillas en América Latina
Guillermo C. Rodríguez
Guitarra
Género (ciencias sociales)
Género (ciencias sociales)
Género fantástico
Género gramatical
Género literario
Género musical
Gónada
HTML
Halógenos
Hardware
Hardware de red
Hardware de red
Herramienta manual
Hidrografía de Uruguay
Hidráulica
Hierático
Higiene bucodental
Higiene del sueño
Hipercolesterolemia
Hipercolesterolemia
Hipertensión arterial
Hipertensión arterial
Hipertiroidismo
Hiperónimo
Hipotiroidismo
Hipotálamo
Hipálage
Hipérbaton
Hipónimo
Historia
Historia de América
Historia de Uruguay
Historia de la ciencia en el Renacimiento
Historia de la música
Historia de la sensibilidad en el Uruguay
Historia de la tecnología
Historiador
Historieta
Historiografía
Hockey
Hockey
Hockey
Homeostasis
Homo
Homo sapiens
Homo sapiens
Homofonía (música)
Homotecia
Horacio Quiroga
Hormona
Huella digital
Humanismo renacentista
Humedal
Humor
Hígado
Iconicidad
Ida Vitale
Idea Vilariño
Identidad 2.0
Identidad de género
Identidad de género
Identidad personal
Idioma español
Iglesia católica
Igualdad matemática
Imagen
Imagen acústica
Imagen corporal
Imagen corporal
Impacto ambiental
Impacto ambiental
Impacto tecnológico
Impacto tecnológico
Impacto tecnológico
Imperio
Imperio Antiguo de Egipto
Imperio azteca
Imperio español
Imperio incaico
Imperio romano
Implantación del embrión humano
Imprenta
Impresión 3D
Impresora 3D
Incertidumbre
Incertidumbre (metrología)
Inclusión (pedagogía)
Indicador de salud
Indicador social
Inductor
Industria
Industrialización
Industrialización por sustitución de importaciones
Indígenas de América
Infecciones de transmisión sexual
Infecciones de transmisión sexual
Infinitivo
Información personal
Ingeniería en alimentos
Ingeniería mecatrónica
Ingestión
Inmunidad (medicina)
Inmunidad pasiva
Inquisición en América
Inseminación artificial
Instituto Nacional de Donación y Trasplante de Células, Tejidos y Órganos (Uruguay)
Instituto Nacional de Donación y Trasplante de Células, Tejidos y Órganos (Uruguay)
Instrucciones del año XIII
Instrumento de medición
Instrumento de medición
Instrumento de medición
Instrumento de teclado
Insulina
Inteligencia artificial
Inteligencia artificial
Inteligencia artificial
Intención
Interacción biológica
Interacción social
Internet
Internet de las cosas
Internet de las cosas
Internet de las cosas
Interpretación de mapas
Interpretación musical
Interruptor
Interruptor
Intersexualidad
Interés compuesto
Interés simple
Intestino delgado
Intestino grueso
Intolerancia a la lactosa
Invectiva
Invento
Islam
Iteración
Iteración
Jacobo Langsner
Jaime Roos
Javier de Viana
Joaquín Torres García
Johann Sebastian Bach
Johannes Gutenberg
Jorge Arbeleche
Jorge Curi
Jorge Luis Borges
José Carbajal
José Cuneo Perinetti
José Gurvich
José Hernández
José Martí
Juan Cunha
Juan José Morosoli
Juan Manuel Blanes
Juan Rulfo
Juana de Ibarbourou
Juego
Juego
Juego
Juego de persecución
Juego de persecución
Juego de persecución
Juego de rol
Juego de rol
Juegos tradicionales
Juegos tradicionales
Juegos tradicionales
Julio Cortázar
Julio Herrera y Reissig
Juventud
Kickball
Kickball
Kickball
Kinésica
Kinésica
Kinésica
La Vela Puerca
La forma sigue a la función
La gallina degollada
La isla desierta
Laboratorio
Lactancia
Lactancia materna
Laguna del Cisne
Las lenguas de diamante
Latín
Led
Leitmotiv
Lengua (lingüística)
Lengua escrita
Lengua muerta
Lenguaje
Lenguaje de programación
Lenguaje soez
Lenguaje visual
Lenguas indígenas de América
Leonardo da Vinci
Leonilda González
Ley científica
Ley de Ohm
Ley de Ohm
Ley de conservación de la materia
Ley de frontalidad
Ley de gravitación universal
Leyes de Kirchhoff
Leyes de Kirchhoff
Leyes de Newton
Leyes de Newton
Libro de los muertos
Licencia
Licencias Creative Commons
Liga Federal
Limitaciones y excepciones al derecho de autor
Lista (tipo de dato abstracto)
Literatura
Literatura
Literatura de Uruguay
Literatura de Uruguay
Literatura gauchesca
Literatura latinoamericana
Literatura posmoderna
Lluvia ácida
Lluvia ácida
Los cálices vacíos
Los funerales de la Mamá Grande
Los versos del capitán
Ludwig van Beethoven
Lumbalgia
Lupa
Luxación
Luz de neón
Lámpara
Lámpara halógena
Léxico
Léxico del español
Líber Falco
Línea
Línea de pobreza
Lípido
Lógica programada
Lógica programada
Macondo
Madera
Madera
Magnesio
Magnitud física
Malabarismo
Malabarismo
Malabarismo
Maltrato infantil
Mama
Manejo de recursos hídricos en Uruguay
Maniobra de Heimlich
Manipulación fotográfica
Mapamundi
Maqueta
Maqueta
Maqueta
Mar Muerto
Marcador del discurso
Marcha camión
Mario Arregui
Mario Benedetti
María Eugenia Vaz Ferreira
María Freire
Masa
Masculinidad
Matemática financiera
Matemática financiera
Matemática financiera
Mazurca
Mecanorreceptor
Mecánica corporal
Mecánica corporal
Mediana (geometría)
Mediatriz
Medición
Medio ambiente natural
Medio natural
Medio rural
Megaciudad
Megalópolis
Melodía
Membrana plasmática
Menstruación
Mercedes Rein
Mercosur
Merengue (baile)
Merengue (baile)
Merengue (baile)
Merengue (género musical)
Mestizaje en América
Metal
Metal
Metal
Metal
Metonimia
Metrópoli
Metsä Fibre
Metáfora
Microorganismos efectivos
Microscopio
Microscopio
Microscopio óptico
Microscopio óptico
Migración humana
Militarismo (Uruguay)
Milonga (música)
Milton Schinca
Minimización de residuos
Mitocondria
Mitología egipcia
Mitología griega
Mitología maya
Mitología romana
Modelado del software
Modelo científico
Modelo de ejecución
Modelo entidad-relación
Modelo físico
Modernismo (literatura en español)
Modo gramatical
Modo indicativo (gramática)
Modularidad (informática)
Molécula de agua
Momento angular
Momento dipolar químico
Monarquía
Monarquía romana
Monólogo dramático
Morfema
Morfología (biología)
Morfología lingüística
Motor
Motor de búsqueda
Motor eléctrico
Motricidad
Motricidad
Motricidad
Movimiento (física)
Movimiento artístico
Movimiento artístico
Muestra estadística
Muestra estadística
Multiplicación
Multiplicación
Murga
Murga
Murga
Murga
Museo Gurvich
Museo Nacional de Artes Visuales
Mutualismo (biología)
Máximo común divisor
Médula espinal
Método científico
Métodos de separación de fases
Métrica
México
Mínimo común múltiplo
Módulo (matemática)
Músculo
Músculo
Músculo
Música
Música cinematográfica
Música clásica
Música de Uruguay
Música del Barroco
Música del Romanticismo
Música del mundo
Música folclórica
Música instrumental
Música vocal
Músicas del mundo: World Music
Narrador
Narrativa
Narrativa poética
Negrismo
Netiqueta
Neumática
Neumática
Neurociencia afectiva
Neurona
Neutralidad de red
Nexo subordinante
Neón
Nicho ecológico
Nicolás Guillén
Nilo
Nivel de vida
No se culpe a nadie
Nociceptor
Nomenclatura química
Norma jurídica
Normas sociales
Notación científica
Notación científica
Notación científica
Noxa
Nutrición
Nutrición autótrofa
Nutrición heterótrofa
Nutrición humana
Nutrición humana
Nutrimento
Nómada
Núcleo celular
Núcleo sintáctico
Núcleo sintáctico
Número atómico
Número entero
Número gramatical
Número másico
Número natural
Número racional
Número real
Números coprimos
Obesidad
Objetividad
Objetividad
Objeto directo
Obsolescencia programada
Oikos
Oligarquía
Operación (matemática)
Operación (matemática)
Oración (gramática)
Oración (gramática)
Oración compuesta
Oración coordinada
Oración pasiva
Oración subordinada
Orden de evaluación
Ordenamiento jurídico
Orfila Bardesio
Organismo genéticamente modificado
Organización Internacional de Normalización
Organización Internacional de Normalización
Organización Mundial de la Salud
Organización biológica
Orgánulo
Orientación (deporte)
Orientación (deporte)
Orientación (deporte)
Orientación romántica
Orientación romántica
Orientación sexual
Orientación sexual
Orina
Orquesta
Ortogonalidad (matemática)
Ortogonalidad (matemática)
Osteocito
Osvaldo Dragún
Ovario
Ovario
Oviparidad
Ovulación
PH
PH del suelo
Pablo Neruda
Palabra
Palanca
Pandereta
Paralelismo (matemática)
Paralelismo (matemática)
Parasitismo
Parasíntesis
Participación ciudadana
Participio
Parto
Parámetro estadístico
Parámetro estadístico
Pastizales y matorrales templados
Patrimonio
Patrimonio cultural
Patrimonio cultural
Patrimonio de la Humanidad
Pedro Figari
Pedro Páramo
Pelo
Pene humano
Pene humano
Pensamiento económico medieval
Pentagrama
Percepción corporal
Percepción corporal
Percepción corporal
Percepción visual
Pericón (danza)
Pericón (danza)
Pericón (danza)
Pericón (danza)
Periférico de entrada
Periférico de entrada/salida
Periodización
Perpendicularidad
Perpendicularidad
Persona gramatical
Personaje
Perspectiva
Perspectiva axonométrica
Perspectiva caballera
Perímetro
Perímetro
Período helenístico
Pesca
Pesca artesanal
Peste negra
Petrona Viera
Phishing
Piel humana
Pintura
Pintura de Uruguay
Pintura de Uruguay
Pintura renacentista
Pirámide (geometría)
Pirámide (geometría)
Pirámide de población
Placa de pruebas
Placa de pruebas
Plan Cóndor
Planeamiento
Planificación territorial
Plano (geometría)
Plano anatómico
Plantae
Plebiscito constitucional de Uruguay de 1980
Plutocracia
Plástico
Plástico
Plástico
Po
Población biológica
Población estadística
Población estadística
Poemas homéricos
Poesía
Poesía
Polaridad (química)
Polca
Polea
Poliedro regular
Polifonía
Polinomio
Polinomio
Polis
Polígono
Polígono construible
Popol Vuh
Porcentaje
Porcentaje
Postura
Postura
Potasio
Potencia eléctrica
Potenciación
Potenciación
Predicado (gramática)
Predicado (gramática)
Predicado verbal
Predicado verbal
Prefijo
Prejuicio
Preposición
Preposición
Presión
Primera Guerra Mundial
Prisma (geometría)
Prisma (geometría)
Probabilidad
Probabilidad
Procesamiento de datos
Procesamiento de datos
Procesamiento de datos
Procesamiento digital de imágenes
Proceso para el desarrollo de software
Proceso para el desarrollo de software
Proceso químico
Proceso tecnológico
Proceso tecnológico
Proceso tecnológico
Producto químico
Progesterona
Programación
Programación
Programación
Programación visual
Pronombre
Pronombre
Pronombre relativo
Propiedad química
Propiedades intensivas y extensivas
Proporcionalidad
Proporcionalidad
Proporcionalidad
Prosa
Protección de datos personales
Protestantismo
Proteína (nutriente)
Protocolo seguro de transferencia de hipertexto
Protozoa (reino)
Provincia Oriental
Proyección cartográfica
Proyección ortogonal
Proyecto
Pruebas de software
Pruebas de software
Prácticas corporales
Próstata
Psicomotricidad
Psicomotricidad
Psicomotricidad
Pubertad
Pubertad
Pubertad
Publicidad
Pueblos indígenas del Uruguay
Puente H (electrónica)
Puerto
Puerto (informática)
Puerto de Montevideo
Puerto de Nueva Palmira
Puerto de Nueva York
Puerto de Santos
Pulmón
Pulso
Pulso (música)
Puntillismo
Punto (geometría)
Punto de ebullición
Punto de fusión
Punto de inflamabilidad
Pádel
Pádel
Pádel
Páncreas
Píxel
Quodlibet
Química
Química del suelo
Racionalismo
Radicación
Reacción química
Reactivo
Realidad aumentada
Realidad aumentada
Realidad virtual
Realidad virtual
Realismo mágico
Reanimación cardiopulmonar
Reciclaje
Recopilación de datos
Recopilación de datos
Recta
Recta
Recta de Euler
Recta real
Recursión (ciencias de computación)
Recurso natural
Recurso natural
Red de computadoras
Red de computadoras
Red inalámbrica
Red inalámbrica
Red trófica
Redondeo
Reflejo
Reforestación
Reforma Vareliana
Reforma protestante
Registro lingüístico
Regla de las tres erres
Regla y compás
Regla y compás
Reglamento
Reglamento Provisorio de Derechos Aduaneros
Reglamento Provisorio de la Provincia Oriental para el Fomento de su Campaña y Seguridad de sus Hacendados
Reino (biología)
Relación interespecífica
Relación intraespecífica
Relación sexual
Religiones afroamericanas
Religiones nativas americanas
Religión del Antiguo Egipto
Religión incaica
Religión maya
Religión mexica
Religión sumeria
Renacimiento
Representación gráfica
Reproducción
Reproducción asexual
Reproducción asistida
Reproducción humana
Reproducción sexual
Reproducción vegetal
República
República romana
Requisito (sistemas)
Residuo sólido urbano
Resiliencia (psicología)
Resistencia eléctrica
Resistor
Resolución de ecuaciones
Resolución de problemas
Resolución de problemas
Resolución de problemas
Respiración
Respiración (fisiología)
Respiración vegetal
Respuesta sexual humana
Resta
Resta
Restauración ecológica
Retículo endoplasmático
Reutilización
Reutilización de código
Reutilización de código
Reutilización de código
Revolución Industrial
Revolución digital
Revolución oriental
Rhod Rothfuss
Rima
Ritmo
Ritmo
Riñón
Roberto Arlt
Roberto Cossa
Robo de identidad
Robot
Robot
Robot
Robot seguidor de línea
Robot seguidor de línea
Robótica
Robótica
Robótica educativa
Robótica educativa
Robótica educativa
Rock and roll
Rock and roll (baile)
Rock and roll (baile)
Rock and roll (baile)
Rodolfo Ian Uricchio
Rol de género
Rol de género
Romanización (aculturación)
Rondó
Rubén Darío
Rudolf Arnheim
Rueda
Rugby
Rugby
Rugby
Ruido en la música
Ruta del ganado
Régimen electoral de Uruguay
Río Misisipi
Rúter
Salinidad
Salud
Salud
Salud mental
Salud mental
Salud reproductiva
Salud reproductiva
Salud sexual
Salud sexual
Samba (música)
Saneamiento ambiental
Saneamiento ecológico
Sangre
Sara de Ibáñez
Satélite artificial
Scratch (lenguaje de programación)
Scratch (lenguaje de programación)
Sedentarismo (antropología)
Sedentarismo (estilo de vida)
Sedentarismo (estilo de vida)
Sedentarismo (estilo de vida)
Segunda Guerra Mundial
Seguridad alimentaria
Seguridad alimentaria
Seguridad informática
Seguridad y salud laboral
Semejanza (geometría)
Semejanza (geometría)
Semántica
Sensor
Sensor
Sensor
Separación de poderes
Sequía en Uruguay de 2022-2023
Ser vivo
Servicio de red social
Servicio de red social
Servicio de red social
Servicio de red social
Servicio de red social
Sexo
Sexo seguro
Sexteo
Sexteo
Sextorsión
Sexuación
Sexualidad humana
Sexualidad humana
Signos de puntuación
Signos de puntuación
Silicio
Simbiosis
Simetría
Simetría axial
Simetría central
Simulador de circuitos electrónicos
Simulador de circuitos electrónicos
Sinapsis
Sinfonía
Sinonimia (semántica)
